,Station,Easting,Northing,Elevation,DTM,RockSurface,StationReal,RockCover,WBScode,WorkType,ExcavationType,ProfileType,SectionArea,Description,Unit,BoreClass,SupportClass,DisposalClass,StationInterval,ExcavationVolume,DisposalVolume
115,205+206,2612337.995,1269190.831,262.857,260.961,236.0,205206.0,-26.857,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0047690426,NaN,NaN
116,205+209,2612339.397,1269188.179,262.684,259.613,236.0,205209.0,-26.684,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00498668879,NaN,NaN
117,205+212,2612340.792,1269185.523,262.512,261.635,236.0,205212.0,-26.512,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00534074633,NaN,NaN
118,205+215,2612342.18,1269182.863,262.339,260.056,236.185,205215.0,-26.154,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00432371726,NaN,NaN
119,205+218,2612343.564,1269180.202,262.167,260.056,236.185,205218.0,-25.982,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.6235209167,NaN,NaN
120,205+220.619,2612344.77,1269177.877,262.016,258.807,236.185,205220.619,-25.831,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,0.381755157112,NaN,NaN
121,205+221,2612344.948,1269177.54,261.994,258.807,236.185,205221.0,-25.809,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00471163353,NaN,NaN
122,205+224,2612346.35,1269174.888,261.822,260.319,236.185,205224.0,-25.637,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00570274649,NaN,NaN
123,205+227,2612347.754,1269172.236,261.649,260.319,236.2,205227.0,-25.449,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00434834867,NaN,NaN
124,205+230,2612349.159,1269169.586,261.477,258.867,236.2,205230.0,-25.277,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,0.26348624231,NaN,NaN
125,205+230.263,2612349.283,1269169.354,261.462,258.867,236.2,205230.263,-25.262,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.74179904461,NaN,NaN
126,205+233,2612350.566,1269166.936,261.305,261.307,236.2,205233.0,-25.105,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00445818746,NaN,NaN
127,205+236,2612351.975,1269164.288,261.133,260.734,236.2,205236.0,-24.933,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00487021339,NaN,NaN
